2-14;[4,6,1];[2,1,2,3,4,5,6,14];125.0;[1.0,4.0,6.0];56;42;[0.0,8.0,7.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00022602081298828125
10-12;[7,8,9];[10,9,8,7,6,13,12];169.0;[9.0,8.0,7.0];56;41;[0.0,7.0,10.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00019621849060058594
7-12;[4,11,14];[7,6,14,6,5,4,3,12,11,12];218.0;[14.0,4.0,11.0];53;28;[1.0,6.0,5.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002503395080566406
7-11;[12,2,0];[7,6,13,12,3,2,1,0,11];212.0;[12.0,2.0,0.0];39;13;[2.0,5.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00025391578674316406
9-12;[8,1,6];[9,8,9,14,6,5,4,3,2,1,2,3,12];208.0;[8.0,6.0,1.0];42;29;[1.0,6.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00023746490478515625
1-6;[14,4,11];[1,0,11,12,3,4,5,6,14,6];217.0;[11.0,4.0,14.0];88;45;[0.0,6.0,6.0,14.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00014829635620117188
0-14;[4,6,8];[0,1,2,3,4,5,6,14,9,8,9,14];216.0;[4.0,6.0,8.0];45;22;[1.0,7.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00023555755615234375
9-11;[7,1,3];[9,8,7,6,5,4,3,2,1,0,11];242.0;[7.0,3.0,1.0];37;20;[2.0,4.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00014519691467285156
4-10;[1,0,6];[4,3,2,1,0,11,13,6,14,9,10];260.0;[1.0,0.0,6.0];44;30;[0.0,9.0,11.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00023984909057617188
3-14;[13,1,8];[3,2,1,2,3,12,13,14,9,8,9,14];219.0;[1.0,13.0,8.0];51;31;[1.0,6.0,4.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0003001689910888672
2-6;[14,3,9];[2,3,4,5,6,14,9,14,6];160.0;[3.0,14.0,9.0];54;31;[1.0,6.0,3.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.000774383544921875
10-13;[1,11,14];[10,9,14,6,5,4,3,2,1,0,11,13];266.0;[14.0,1.0,11.0];70;41;[0.0,7.0,7.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00019741058349609375
4-11;[0,9,3];[4,5,6,14,9,14,6,5,4,3,2,1,0,11];269.0;[9.0,3.0,0.0];71;48;[0.0,6.0,9.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];8.130073547363281e-05
4-8;[0,9,5];[4,5,4,3,2,1,0,11,13,14,9,8];275.0;[5.0,0.0,9.0];54;42;[0.0,7.0,11.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00029397010803222656
0-5;[13,4,8];[0,11,13,14,9,8,9,14,6,5,4,5];249.0;[13.0,8.0,4.0];49;24;[1.0,7.0,3.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00029659271240234375
0-6;[2,1,13];[0,1,2,3,12,13,6];135.0;[1.0,2.0,13.0];35;19;[1.0,8.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];7.796287536621094e-05
1-13;[10,3,8];[1,2,3,12,11,10,9,8,9,14,13];263.0;[3.0,10.0,8.0];54;31;[1.0,6.0,3.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00022602081298828125
1-5;[9,7,12];[1,2,3,12,13,14,9,8,7,6,5];232.0;[12.0,9.0,7.0];63;42;[0.0,7.0,9.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0001819133758544922
12-14;[6,4,7];[12,3,4,5,6,7,6,14];177.0;[4.0,6.0,7.0];59;30;[1.0,5.0,6.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0001761913299560547
5-10;[0,9,8];[5,4,3,2,1,0,11,13,14,9,8,9,10];305.0;[0.0,9.0,8.0];56;42;[0.0,8.0,6.0,19.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.000270843505859375
5-11;[14,1,12];[5,6,14,6,5,4,3,2,1,2,3,12,11];220.0;[14.0,1.0,12.0];42;36;[0.0,9.0,9.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00011134147644042969
11-14;[1,10,0];[11,0,1,0,11,10,9,14];255.0;[1.0,0.0,10.0];51;35;[0.0,9.0,8.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0004267692565917969
8-13;[2,4,14];[8,9,14,6,5,4,3,2,3,12,13];212.0;[14.0,4.0,2.0];69;44;[0.0,7.0,6.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0003352165222167969
1-8;[0,3,4];[1,0,1,2,3,4,5,6,14,9,8];209.0;[0.0,3.0,4.0];35;28;[0.0,10.0,11.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00014066696166992188
2-8;[0,5,7];[2,1,0,1,2,3,4,5,6,7,8];225.0;[0.0,5.0,7.0];34;22;[1.0,8.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002703666687011719
1-10;[4,14,5];[1,2,3,4,5,6,14,9,10];161.0;[4.0,5.0,14.0];38;19;[2.0,4.0,3.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.001001119613647461
1-7;[9,2,8];[1,2,3,4,5,6,14,9,8,7];172.0;[2.0,9.0,8.0];51;31;[1.0,6.0,4.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00016117095947265625
