2-14;[4,6,1];[2,1,2,3,4,5,6,14];125.0;[1.0,4.0,6.0];7;12;[2.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0004749298095703125
10-12;[7,8,9];[10,9,8,7,6,13,12];169.0;[9.0,8.0,7.0];24;32;[0.0,10.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00023126602172851562
7-12;[4,11,14];[7,6,14,6,5,4,3,12,11,12];218.0;[14.0,4.0,11.0];24;23;[1.0,8.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00023221969604492188
7-11;[12,2,0];[7,6,13,12,3,2,1,0,11];212.0;[12.0,2.0,0.0];23;15;[2.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];8.058547973632812e-05
9-12;[8,1,6];[9,8,9,14,6,5,4,3,2,1,2,3,12];208.0;[8.0,6.0,1.0];18;25;[1.0,8.0,7.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00020647048950195312
1-6;[14,4,11];[1,0,11,12,3,4,5,6,14,6];217.0;[11.0,4.0,14.0];39;30;[1.0,6.0,7.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00022292137145996094
0-14;[4,6,8];[0,1,2,3,4,5,6,14,9,8,9,14];216.0;[4.0,6.0,8.0];32;26;[1.0,7.0,6.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];9.036064147949219e-05
9-11;[7,1,3];[9,8,7,6,5,4,3,2,1,0,11];242.0;[7.0,3.0,1.0];18;20;[2.0,5.0,3.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002536773681640625
4-10;[1,0,6];[4,3,2,1,0,11,13,6,14,9,10];260.0;[1.0,0.0,6.0];25;32;[0.0,10.0,11.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00021076202392578125
3-14;[13,1,8];[3,2,1,2,3,12,13,14,9,8,9,14];219.0;[1.0,13.0,8.0];18;23;[1.0,9.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00019812583923339844
2-6;[14,3,9];[2,3,4,5,6,14,9,14,6];160.0;[3.0,14.0,9.0];22;22;[2.0,5.0,1.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];7.319450378417969e-05
10-13;[1,11,14];[10,9,14,6,5,4,3,2,1,0,11,13];266.0;[14.0,1.0,11.0];37;32;[1.0,6.0,6.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00027108192443847656
4-11;[0,9,3];[4,5,6,14,9,14,6,5,4,3,2,1,0,11];269.0;[9.0,3.0,0.0];31;40;[0.0,9.0,10.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0001926422119140625
4-8;[0,9,5];[4,5,4,3,2,1,0,11,13,14,9,8];275.0;[5.0,0.0,9.0];28;37;[0.0,9.0,12.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00028228759765625
0-5;[13,4,8];[0,11,13,14,9,8,9,14,6,5,4,5];249.0;[13.0,8.0,4.0];30;25;[1.0,7.0,7.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];7.343292236328125e-05
0-6;[2,1,13];[0,1,2,3,12,13,6];135.0;[1.0,2.0,13.0];10;19;[1.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00020003318786621094
1-13;[10,3,8];[1,2,3,12,11,10,9,8,9,14,13];263.0;[3.0,10.0,8.0];20;21;[2.0,5.0,2.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0005121231079101562
